16:45:07 INFO  - Start test - >testMuli
16:45:08 INFO  - Start search ->By.xpath: //div[@class='category-cards']/div[4]
16:45:08 INFO  - By.xpath: //div[@class='category-cards']/div[4]<- found
16:45:08 INFO  - Start search ->By.xpath: //span[.='Select Menu']
16:45:08 INFO  - By.xpath: //span[.='Select Menu']<- found
16:45:08 INFO  - Start search ->By.id: withOptGroup
16:45:09 INFO  - By.id: withOptGroup<- found
16:45:09 INFO  - Start search ->By.xpath: //*[text()='Group 1, option 1']
16:45:09 INFO  - By.xpath: //*[text()='Group 1, option 1']<- found
16:45:14 INFO  - Start search ->By.id: selectOne
16:45:14 INFO  - By.id: selectOne<- found
16:45:14 INFO  - Start search ->By.xpath: //*[text()='Mr.']
16:45:14 INFO  - By.xpath: //*[text()='Mr.']<- found
16:45:19 INFO  - Start search ->By.id: oldSelectMenu
16:45:19 INFO  - By.id: oldSelectMenu<- found
16:45:19 INFO  - Start search ->By.xpath: .//option[normalize-space(.) = "Black"]
16:45:19 INFO  - By.xpath: .//option[normalize-space(.) = "Black"]<- found
16:45:30 INFO  - Start search ->By.id: cars
16:45:30 INFO  - By.id: cars<- found
16:45:30 INFO  - Start search ->By.tagName: option
16:45:30 INFO  - By.tagName: option<- found
16:45:30 INFO  - Start search ->By.tagName: option
16:45:30 INFO  - By.tagName: option<- found
16:45:30 INFO  - Start search ->By.tagName: option
16:45:30 INFO  - By.tagName: option<- found
16:45:35 INFO  - End of test -> testMuli
************************************
